2023_12_29,20231229KL 1824,DEP,KL 1824,11:50 Uhr,departed,12:05 Uhr,AMS,KL,Amsterdam,KLM Royal Dutch Airlines,---,Fri
2023_12_29,20231229BA 8492,DEP,BA 8492,11:55 Uhr,departed,on time,LCY,BA,London City Airport,British Airways,---,Fri
2023_12_29,20231229SN 2582,DEP,SN 2582,11:55 Uhr,departed,12:10 Uhr,BRU,SN,Brüssel,Brussels Airlines,---,Fri
2023_12_29,20231229PC 978,DEP,PC 978,12:00 Uhr,departed,on time,SAW,PC,Istanbul SAW,Pegasus Airlines,---,Fri
2023_12_29,20231229FR 132,DEP,FR 132,12:10 Uhr,departed,12:45 Uhr,BCN,FR,Barcelona,Ryanair,---,Fri
2023_12_29,20231229PC 5008,DEP,PC 5008,12:10 Uhr,departed,on time,AYT,PC,Antalya,Pegasus Airlines,---,Fri
2023_12_29,20231229BA 993,DEP,BA 993,12:15 Uhr,departed,on time,LHR,BA,London LHR,British Airways,---,Fri
2023_12_29,20231229EJU5107,DEP,EJU5107,12:15 Uhr,departed,13:10 Uhr,BCN,EJU,Barcelona,easyJet Europe,---,Fri
2023_12_29,20231229FR 3863,DEP,FR 3863,12:15 Uhr,departed,on time,BRU,FR,Brüssel,Ryanair,---,Fri
2023_12_29,20231229D8 4506,DEP,D8 4506,12:20 Uhr,departed,13:10 Uhr,ARN,D8,Stockholm ARN,Norwegian Air Sweden AOC,---,Fri
2023_12_29,20231229AF 1735,DEP,AF 1735,12:25 Uhr,departed,on time,CDG,AF,Paris CDG,Air France,---,Fri
2023_12_29,20231229EJU5051,DEP,EJU5051,12:30 Uhr,departed,13:00 Uhr,NAP,EJU,Neapel,easyJet Europe,---,Fri
2023_12_29,20231229FR 9956,DEP,FR 9956,12:30 Uhr,departed,on time,PSA,FR,Pisa,Ryanair,---,Fri
2023_12_29,20231229EW 2011,DEP,EW 2011,12:35 Uhr,departed,12:55 Uhr,STR,EW,Stuttgart,Eurowings,LH5390,Fri
2023_12_29,20231229D8 3303,DEP,D8 3303,12:40 Uhr,departed,13:05 Uhr,CPH,D8,Kopenhagen,Norwegian Air Sweden AOC,---,Fri
2023_12_29,20231229FR 2418,DEP,FR 2418,12:40 Uhr,departed,13:00 Uhr,TFS,FR,Teneriffa,Ryanair,---,Fri
2023_12_29,20231229LH 187,DEP,LH 187,12:40 Uhr,departed,on time,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229FR 3309,DEP,FR 3309,12:50 Uhr,departed,on time,BRI,FR,Bari,Ryanair,---,Fri
2023_12_29,20231229LH 2207,DEP,LH 2207,12:50 Uhr,departed,on time,MUC,LH,München,Lufthansa,---,Fri
2023_12_29,20231229TP 531,DEP,TP 531,12:50 Uhr,departed,13:10 Uhr,LIS,TP,Lissabon,TAP Air Portugal,---,Fri
2023_12_29,20231229FI 529,DEP,FI 529,12:55 Uhr,departed,on time,KEF,FI,Reykjavik,Icelandair,---,Fri
2023_12_29,20231229HU 490,DEP,HU 490,12:55 Uhr,departed,on time,PEK,HU,Peking,Hainan Airlines,---,Fri
2023_12_29,20231229EJU5265,DEP,EJU5265,13:00 Uhr,departed,13:10 Uhr,CPH,EJU,Kopenhagen,easyJet Europe,---,Fri
2023_12_29,20231229SR 150,DEP,SR 150,13:00 Uhr,departed,on time,BEY,SDR,Beirut,SUNDAIR,---,Fri
2023_12_29,20231229AY 1434,DEP,AY 1434,13:05 Uhr,departed,13:40 Uhr,HEL,AY,Helsinki,Finnair,---,Fri
2023_12_29,20231229EJU5121,DEP,EJU5121,13:15 Uhr,departed,on time,PMI,EJU,Palma de Mallorca,easyJet Europe,---,Fri
2023_12_29,20231229N0 623,DEP,N0 623,13:15 Uhr,departed,on time,MIA,N0,Miami,Norse Atlantic Airways,---,Fri
2023_12_29,20231229EW 8220,DEP,EW 8220,13:25 Uhr,departed,13:45 Uhr,GOT,EW,Göteborg GOT,Eurowings,---,Fri
2023_12_29,20231229XQ 161,DEP,XQ 161,13:25 Uhr,departed,13:50 Uhr,AYT,XQ,Antalya,Sun Express,---,Fri
2023_12_29,20231229EJU5065,DEP,EJU5065,13:30 Uhr,departed,13:50 Uhr,LIN,EJU,Mailand LIN,easyJet Europe,---,Fri
2023_12_29,20231229LH 189,DEP,LH 189,13:40 Uhr,departed,on time,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229TK 7729,DEP,TK 7729,13:40 Uhr,departed,on time,SAW,TK,Istanbul SAW,Turkish Airlines,---,Fri
2023_12_29,20231229EJU5377,DEP,EJU5377,13:45 Uhr,departed,14:20 Uhr,PSA,EJU,Pisa,easyJet Europe,---,Fri
2023_12_29,20231229FR 146,DEP,FR 146,13:45 Uhr,departed,on time,STN,FR,London STN,Ryanair,---,Fri
2023_12_29,20231229XQ 947,DEP,XQ 947,13:55 Uhr,departed,14:10 Uhr,ADB,XQ,Izmir ADB,Sun Express,---,Fri
2023_12_29,20231229BA 983,DEP,BA 983,14:00 Uhr,departed,on time,LHR,BA,London LHR,British Airways,---,Fri
2023_12_29,20231229TK 1726,DEP,TK 1726,14:20 Uhr,departed,14:37 Uhr,IST,TK,Istanbul Airport,Turkish Airlines,---,Fri
2023_12_29,20231229DY 1105,DEP,DY 1105,14:25 Uhr,departed,15:10 Uhr,OSL,DY,Oslo,Norwegian Air Shuttle AOC,---,Fri
2023_12_29,20231229KL 1826,DEP,KL 1826,14:30 Uhr,departed,on time,AMS,KL,Amsterdam,KLM Royal Dutch Airlines,---,Fri
2023_12_29,20231229IA 264,DEP,IA 264,14:35 Uhr,departed,17:15 Uhr,BGW,IA,Baghdad,Iraqi Airways,---,Fri
2023_12_29,20231229LH 191,DEP,LH 191,14:40 Uhr,departed,on time,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229LX 967,DEP,LX 967,14:55 Uhr,departed,15:50 Uhr,ZRH,LX,Zürich,Swiss,---,Fri
2023_12_29,20231229MS 732,DEP,MS 732,14:55 Uhr,departed,14:50 Uhr,CAI,MS,Kairo,Egypt Air,---,Fri
2023_12_29,20231229OS 230,DEP,OS 230,15:10 Uhr,departed,on time,VIE,OS,Wien,Austrian Airlines,---,Fri
2023_12_29,20231229QR 082,DEP,QR 082,15:15 Uhr,departed,on time,DOH,QR,Doha,Qatar Airways,---,Fri
2023_12_29,20231229PC 980,DEP,PC 980,15:30 Uhr,departed,on time,SAW,PC,Istanbul SAW,Pegasus Airlines,---,Fri
2023_12_29,20231229FR 196,DEP,FR 196,15:35 Uhr,departed,on time,BUD,FR,Budapest,Ryanair,---,Fri
2023_12_29,20231229FR 314,DEP,FR 314,15:35 Uhr,departed,on time,OTP,FR,Bukarest,Ryanair,---,Fri
2023_12_29,20231229LH 193,DEP,LH 193,15:40 Uhr,departed,15:45 Uhr,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229AF 1235,DEP,AF 1235,15:45 Uhr,departed,on time,CDG,AF,Paris CDG,Air France,---,Fri
2023_12_29,20231229EJU5103,DEP,EJU5103,15:45 Uhr,departed,on time,VLC,EJU,Valencia,easyJet Europe,---,Fri
2023_12_29,20231229LH 1941,DEP,LH 1941,15:45 Uhr,departed,16:55 Uhr,MUC,LH,München,Lufthansa,---,Fri
2023_12_29,20231229SK 1674,DEP,SK 1674,15:55 Uhr,departed,on time,CPH,SK,Kopenhagen,SAS-Scandinavian Airlines System,---,Fri
2023_12_29,20231229BZ 9271,DEP,BZ 9271,16:05 Uhr,departed,16:45 Uhr,ATH,BBG,Athen,Blue Bird Airways,---,Fri
2023_12_29,20231229FR 2130,DEP,FR 2130,16:05 Uhr,departed,on time,SOF,FR,Sofia,Ryanair,---,Fri
2023_12_29,20231229FR 257,DEP,FR 257,16:05 Uhr,departed,16:20 Uhr,ALC,FR,Alicante,Ryanair,---,Fri
2023_12_29,20231229W6 4010,DEP,W6 4010,16:05 Uhr,departed,on time,BEG,W6,Belgrad,Wizz Air,---,Fri
2023_12_29,20231229EW 9041,DEP,EW 9041,16:15 Uhr,departed,on time,DUS,EW,Düsseldorf,Eurowings,---,Fri
2023_12_29,20231229FR 1144,DEP,FR 1144,16:15 Uhr,departed,on time,MAN,FR,Manchester,Ryanair,---,Fri
2023_12_29,20231229EJU5079,DEP,EJU5079,16:20 Uhr,departed,16:55 Uhr,FCO,EJU,Rom FCO,easyJet Europe,---,Fri
2023_12_29,20231229FB 320,DEP,FB 320,16:20 Uhr,departed,16:35 Uhr,SOF,FB,Sofia,Bulgaria Air,---,Fri
2023_12_29,20231229EJU8624,DEP,EJU8624,16:25 Uhr,departed,on time,LGW,EJU,London LGW,easyJet Europe,---,Fri
2023_12_29,20231229EZY3262,DEP,EZY3262,16:25 Uhr,departed,on time,EDI,U2,Edinburgh,easyJet UK,---,Fri
2023_12_29,20231229KL 1830,DEP,KL 1830,16:30 Uhr,departed,on time,AMS,KL,Amsterdam,KLM Royal Dutch Airlines,---,Fri
2023_12_29,20231229TO 3405,DEP,TO 3405,16:30 Uhr,departed,16:55 Uhr,ORY,TO,Paris Orly,Transavia France,---,Fri
2023_12_29,20231229FR 1576,DEP,FR 1576,16:35 Uhr,departed,17:00 Uhr,CTA,FR,Catania,Ryanair,---,Fri
2023_12_29,20231229EW 017,DEP,EW 017,16:40 Uhr,departed,on time,CGN,EW,Köln/Bonn,Eurowings,---,Fri
2023_12_29,20231229EW 8226,DEP,EW 8226,16:45 Uhr,departed,on time,CPH,EW,Kopenhagen,Eurowings,LH5320,Fri
2023_12_29,20231229LH 1943,DEP,LH 1943,16:45 Uhr,departed,on time,MUC,LH,München,Lufthansa,---,Fri
2023_12_29,20231229XR 596,DEP,XR 596,16:50 Uhr,departed,on time,HRG,CXI,Hurghada,Corendon Airlines Europe,---,Fri
